Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
302.43	4.0188e-007	-89.937	4.4441e-010	-4.0188e-007
307.22	3.7081e-007	-89.963	2.3907e-010	-3.7081e-007
312.09	3.4326e-007	-89.691	1.8492e-009	-3.4326e-007
317.03	3.1843e-007	-89.958	2.3618e-010	-3.1843e-007
322.05	2.9181e-007	-89.909	4.6178e-010	-2.9181e-007
327.15	2.5891e-007	-89.69	1.4026e-009	-2.589e-007
332.33	8.7861e-007	15.139	8.4812e-007	2.2947e-007
337.59	2.8042e-007	-89.822	8.705e-010	-2.8042e-007
342.94	2.4687e-007	-89.934	2.8314e-010	-2.4687e-007
348.37	2.2313e-007	-89.992	3.2765e-011	-2.2313e-007
353.88	2.0149e-007	-89.994	1.9726e-011	-2.0149e-007
359.49	1.7962e-007	-90.	2.852e-013	-1.7962e-007
365.18	1.5437e-007	-89.963	9.8782e-011	-1.5437e-007
370.96	1.4001e-007	-21.831	1.2997e-007	-5.2064e-008
376.84	1.2953e-007	-89.151	1.9194e-009	-1.2952e-007
382.8	9.8139e-008	-89.463	9.1926e-010	-9.8135e-008
388.87	6.3767e-008	-89.328	7.4755e-010	-6.3762e-008
395.02	2.0023e-008	-84.184	2.0289e-009	-1.992e-008
401.28	5.1428e-008	84.652	4.7937e-009	5.1204e-008
407.63	2.4672e-007	84.857	2.2116e-008	2.4572e-007
414.09	1.3821e-006	-72.787	4.0902e-007	-1.3202e-006
420.64	2.5218e-007	-80.147	4.3154e-008	-2.4846e-007
427.31	1.1448e-007	-72.103	3.5182e-008	-1.0895e-007
434.07	9.3785e-008	-63.922	4.1228e-008	-8.4237e-008
440.95	1.5229e-008	-48.038	1.0183e-008	-1.1324e-008
447.93	8.5485e-008	85.065	7.3542e-009	8.5168e-008
455.02	3.0054e-007	81.908	4.2308e-008	2.9755e-007
462.23	1.9058e-006	-2.0259	1.9047e-006	-6.7373e-008
469.55	2.1305e-007	-80.043	3.684e-008	-2.0984e-007
476.98	1.2301e-008	51.549	7.6491e-009	9.633e-009
484.53	2.2701e-007	82.033	3.1463e-008	2.2482e-007
492.21	5.0293e-007	75.207	1.2841e-007	4.8626e-007
500.	3.6847e-006	-37.043	2.9411e-006	-2.2197e-006
