Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
70.434	2.3457e-007	92.348	-9.6097e-009	2.3437e-007
70.988	2.2952e-007	92.398	-9.6049e-009	2.2932e-007
71.547	2.2454e-007	92.451	-9.6032e-009	2.2434e-007
72.11	2.1963e-007	92.506	-9.6047e-009	2.1942e-007
72.678	2.1477e-007	92.564	-9.6092e-009	2.1455e-007
73.25	2.0997e-007	92.625	-9.6169e-009	2.0975e-007
73.826	2.0522e-007	92.689	-9.6278e-009	2.05e-007
74.407	2.0053e-007	92.756	-9.6417e-009	2.003e-007
74.993	1.959e-007	92.826	-9.6588e-009	1.9566e-007
75.583	1.9131e-007	92.9	-9.6791e-009	1.9106e-007
76.178	1.8677e-007	92.978	-9.7026e-009	1.8651e-007
76.778	1.8227e-007	93.06	-9.7293e-009	1.8201e-007
77.382	1.7782e-007	93.146	-9.7592e-009	1.7755e-007
77.991	1.7341e-007	93.237	-9.7924e-009	1.7314e-007
78.605	1.6904e-007	93.333	-9.8289e-009	1.6876e-007
79.223	1.6472e-007	93.435	-9.8688e-009	1.6442e-007
79.847	1.6043e-007	93.542	-9.9122e-009	1.6012e-007
80.475	1.5617e-007	93.656	-9.959e-009	1.5585e-007
81.109	1.5195e-007	93.777	-1.0009e-008	1.5162e-007
81.747	1.4776e-007	93.905	-1.0063e-008	1.4742e-007
82.391	1.4361e-007	94.041	-1.0121e-008	1.4325e-007
83.039	1.3948e-007	94.186	-1.0182e-008	1.3911e-007
83.693	1.3539e-007	94.341	-1.0247e-008	1.35e-007
84.351	1.3132e-007	94.506	-1.0316e-008	1.3091e-007
85.015	1.2728e-007	94.682	-1.0389e-008	1.2685e-007
85.684	1.2326e-007	94.871	-1.0467e-008	1.2281e-007
86.359	1.1927e-007	95.074	-1.0548e-008	1.188e-007
87.038	1.153e-007	95.292	-1.0634e-008	1.148e-007
87.723	1.1135e-007	95.527	-1.0724e-008	1.1083e-007
88.414	1.0742e-007	95.78	-1.0819e-008	1.0687e-007
89.11	1.0351e-007	96.055	-1.0918e-008	1.0293e-007
89.811	9.9618e-008	96.353	-1.1023e-008	9.9006e-008
90.518	9.5744e-008	96.677	-1.1132e-008	9.5095e-008
91.23	9.1888e-008	97.03	-1.1247e-008	9.1197e-008
91.948	8.8047e-008	97.417	-1.1367e-008	8.731e-008
92.672	8.4221e-008	97.843	-1.1492e-008	8.3433e-008
93.401	8.041e-008	98.311	-1.1624e-008	7.9565e-008
94.137	7.6613e-008	98.83	-1.1761e-008	7.5705e-008
94.877	7.283e-008	99.407	-1.1904e-008	7.1851e-008
95.624	6.9062e-008	100.05	-1.2054e-008	6.8002e-008
96.377	6.5308e-008	100.78	-1.2211e-008	6.4156e-008
97.135	6.1568e-008	101.6	-1.2375e-008	6.0312e-008
97.9	5.7846e-008	102.53	-1.2546e-008	5.6469e-008
98.67	5.4142e-008	103.59	-1.2725e-008	5.2625e-008
99.447	5.0459e-008	104.83	-1.2912e-008	4.8779e-008
100.23	4.6803e-008	106.26	-1.3107e-008	4.493e-008
101.02	4.3178e-008	107.95	-1.331e-008	4.1075e-008
101.81	3.9595e-008	109.97	-1.3523e-008	3.7214e-008
102.61	3.6067e-008	112.4	-1.3745e-008	3.3345e-008
103.42	3.2613e-008	115.38	-1.3978e-008	2.9466e-008
104.24	2.9263e-008	119.07	-1.4221e-008	2.5576e-008
105.06	2.6062e-008	123.74	-1.4475e-008	2.1672e-008
105.88	2.3076e-008	129.7	-1.474e-008	1.7754e-008
106.72	2.0409e-008	137.38	-1.5018e-008	1.3819e-008
107.56	1.8213e-008	147.2	-1.5309e-008	9.8657e-009
108.4	1.6688e-008	159.33	-1.5614e-008	5.8918e-009
109.26	1.6045e-008	173.22	-1.5933e-008	1.8955e-009
110.12	1.6405e-008	-172.56	-1.6267e-008	-2.1254e-009
110.98	1.7727e-008	-159.62	-1.6617e-008	-6.1731e-009
111.86	1.9838e-008	-148.89	-1.6985e-008	-1.025e-008
112.74	2.2537e-008	-140.42	-1.7371e-008	-1.4358e-008
113.62	2.5657e-008	-133.86	-1.7777e-008	-1.85e-008
114.52	2.9081e-008	-128.75	-1.8203e-008	-2.2679e-008
115.42	3.2731e-008	-124.74	-1.8651e-008	-2.6897e-008
116.33	3.6559e-008	-121.54	-1.9123e-008	-3.1158e-008
117.24	4.053e-008	-118.95	-1.962e-008	-3.5465e-008
118.17	4.4625e-008	-116.83	-2.0145e-008	-3.982e-008
119.1	4.8831e-008	-115.08	-2.0698e-008	-4.4227e-008
120.03	5.3139e-008	-113.61	-2.1283e-008	-4.8691e-008
120.98	5.7545e-008	-112.37	-2.1901e-008	-5.3215e-008
121.93	6.2048e-008	-111.32	-2.2555e-008	-5.7803e-008
122.89	6.6647e-008	-110.42	-2.3249e-008	-6.246e-008
123.86	7.1344e-008	-109.64	-2.3985e-008	-6.7191e-008
124.83	7.6142e-008	-108.98	-2.4767e-008	-7.2001e-008
125.82	8.1045e-008	-108.41	-2.5599e-008	-7.6896e-008
126.81	8.6059e-008	-107.92	-2.6486e-008	-8.1882e-008
127.8	9.1189e-008	-107.51	-2.7432e-008	-8.6965e-008
128.81	9.6442e-008	-107.15	-2.8443e-008	-9.2153e-008
129.82	1.0183e-007	-106.86	-2.9525e-008	-9.7453e-008
130.85	1.0735e-007	-106.61	-3.0686e-008	-1.0287e-007
131.88	1.1303e-007	-106.41	-3.1934e-008	-1.0843e-007
132.91	1.1887e-007	-106.26	-3.3277e-008	-1.1412e-007
133.96	1.2488e-007	-106.15	-3.4727e-008	-1.1996e-007
135.01	1.3109e-007	-106.07	-3.6295e-008	-1.2597e-007
136.08	1.375e-007	-106.04	-3.7995e-008	-1.3215e-007
137.15	1.4414e-007	-106.05	-3.9842e-008	-1.3852e-007
138.23	1.5102e-007	-106.09	-4.1856e-008	-1.451e-007
139.31	1.5817e-007	-106.17	-4.4057e-008	-1.5191e-007
140.41	1.6561e-007	-106.3	-4.6471e-008	-1.5896e-007
141.52	1.7338e-007	-106.46	-4.9126e-008	-1.6628e-007
142.63	1.8151e-007	-106.67	-5.2059e-008	-1.7389e-007
143.75	1.9004e-007	-106.92	-5.5309e-008	-1.8181e-007
144.88	1.9901e-007	-107.22	-5.8927e-008	-1.9009e-007
146.02	2.0848e-007	-107.58	-6.2971e-008	-1.9874e-007
147.17	2.185e-007	-108.	-6.7515e-008	-2.0781e-007
148.33	2.2915e-007	-108.48	-7.2645e-008	-2.1733e-007
149.5	2.4052e-007	-109.04	-7.8471e-008	-2.2736e-007
150.68	2.5269e-007	-109.69	-8.5126e-008	-2.3792e-007
151.86	2.6579e-007	-110.43	-9.2777e-008	-2.4907e-007
153.06	2.7995e-007	-111.29	-1.0164e-007	-2.6085e-007
154.26	2.9534e-007	-112.28	-1.1197e-007	-2.7329e-007
155.48	3.1214e-007	-113.43	-1.2412e-007	-2.864e-007
156.7	3.306e-007	-114.77	-1.3854e-007	-3.0018e-007
157.93	3.5099e-007	-116.35	-1.5578e-007	-3.1453e-007
159.18	3.7362e-007	-118.21	-1.7661e-007	-3.2925e-007
160.43	3.9885e-007	-120.42	-2.0197e-007	-3.4393e-007
