Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
183.3	1.562e-007	99.868	-2.6768e-008	1.5389e-007
184.74	1.7292e-007	97.094	-2.1354e-008	1.716e-007
186.2	1.8701e-007	94.707	-1.5346e-008	1.8638e-007
187.66	1.9907e-007	92.642	-9.1775e-009	1.9886e-007
189.14	2.0954e-007	90.844	-3.0858e-009	2.0951e-007
190.63	2.1874e-007	89.265	2.8059e-009	2.1873e-007
192.13	2.2695e-007	87.869	8.4398e-009	2.2679e-007
193.64	2.3433e-007	86.625	1.3795e-008	2.3393e-007
195.16	2.4106e-007	85.51	1.887e-008	2.4032e-007
196.7	2.4723e-007	84.505	2.3675e-008	2.4609e-007
198.25	2.5294e-007	83.593	2.8225e-008	2.5136e-007
199.81	2.5827e-007	82.763	3.2534e-008	2.5621e-007
201.38	2.6326e-007	82.004	3.6621e-008	2.607e-007
202.97	2.6797e-007	81.308	4.0498e-008	2.6489e-007
204.56	2.7243e-007	80.667	4.4179e-008	2.6882e-007
206.17	2.7667e-007	80.077	4.7675e-008	2.7253e-007
207.8	2.8071e-007	79.534	5.0992e-008	2.7604e-007
209.43	2.8458e-007	79.033	5.4138e-008	2.7938e-007
211.08	2.8829e-007	78.574	5.7113e-008	2.8258e-007
212.74	2.9185e-007	78.152	5.9919e-008	2.8563e-007
214.42	2.9527e-007	77.769	6.2552e-008	2.8857e-007
216.1	2.9856e-007	77.424	6.5005e-008	2.914e-007
217.8	3.0172e-007	77.118	6.7269e-008	2.9413e-007
219.52	3.0477e-007	76.851	6.933e-008	2.9678e-007
221.25	3.0769e-007	76.626	7.1169e-008	2.9935e-007
222.99	3.105e-007	76.447	7.2762e-008	3.0185e-007
224.74	3.132e-007	76.318	7.408e-008	3.0431e-007
226.51	3.1579e-007	76.245	7.5086e-008	3.0673e-007
228.29	3.1827e-007	76.234	7.5732e-008	3.0913e-007
230.09	3.2066e-007	76.297	7.5962e-008	3.1153e-007
231.9	3.2296e-007	76.443	7.5703e-008	3.1396e-007
233.73	3.2519e-007	76.69	7.4864e-008	3.1646e-007
235.57	3.2738e-007	77.057	7.3329e-008	3.1907e-007
237.42	3.2958e-007	77.568	7.095e-008	3.2185e-007
239.29	3.3186e-007	78.259	6.7532e-008	3.2492e-007
241.17	3.3434e-007	79.171	6.2815e-008	3.2839e-007
243.07	3.3722e-007	80.364	5.6448e-008	3.3246e-007
244.98	3.4084e-007	81.915	4.7937e-008	3.3745e-007
246.91	3.4576e-007	83.928	3.6575e-008	3.4382e-007
248.86	3.5304e-007	86.54	2.1309e-008	3.524e-007
250.81	3.6462e-007	89.92	5.1197e-010	3.6462e-007
252.79	3.8433e-007	94.244	-2.844e-008	3.8327e-007
254.78	4.2021e-007	99.579	-6.9924e-008	4.1435e-007
256.78	4.9045e-007	105.5	-1.3109e-007	4.7261e-007
258.8	6.3997e-007	110.	-2.1887e-007	6.0138e-007
260.84	9.8141e-007	106.09	-2.7193e-007	9.4298e-007
262.89	1.4709e-006	76.252	3.4956e-007	1.4287e-006
264.96	1.1611e-006	41.512	8.6942e-007	7.6953e-007
267.05	8.0696e-007	31.627	6.871e-007	4.2316e-007
269.15	6.2815e-007	30.877	5.3912e-007	3.2236e-007
271.27	5.2653e-007	32.785	4.4265e-007	2.8511e-007
273.4	4.5824e-007	35.936	3.7103e-007	2.6894e-007
275.56	4.0584e-007	40.644	3.0794e-007	2.6435e-007
277.72	3.6663e-007	48.464	2.4311e-007	2.7444e-007
